gene,TB,Sepsis,Dengue
IL3RA,TRUE,FALSE,FALSE
HLA-DQA2,TRUE,FALSE,TRUE
MS4A4A,TRUE,FALSE,TRUE
C4orf48,TRUE,TRUE,FALSE
ATP5MC3,TRUE,FALSE,FALSE
NDUFA4,TRUE,TRUE,FALSE
TYMP,TRUE,TRUE,TRUE
MYL12B,TRUE,FALSE,TRUE
CES1,TRUE,FALSE,FALSE
TXN,TRUE,TRUE,FALSE
HLA-DRB5,TRUE,TRUE,TRUE
ATP5MG,TRUE,FALSE,FALSE
SRP14,TRUE,TRUE,FALSE
MYL12A,TRUE,TRUE,TRUE
GSTO1,TRUE,TRUE,FALSE
AIF1,TRUE,TRUE,TRUE
S100A9,TRUE,TRUE,TRUE
ARPC3,TRUE,TRUE,TRUE
PRDX1,TRUE,TRUE,TRUE
MGST3,TRUE,TRUE,FALSE
UBB,TRUE,TRUE,TRUE
CD52,TRUE,TRUE,TRUE
S100A10,TRUE,TRUE,TRUE
RPS26,TRUE,TRUE,TRUE
FCER1G,TRUE,TRUE,FALSE
HLA-DQA1,TRUE,TRUE,FALSE
LGALS3,TRUE,TRUE,TRUE
HLA-DPB1,TRUE,TRUE,FALSE
CD63,TRUE,TRUE,TRUE
CEBPB,TRUE,TRUE,FALSE
S100A11,TRUE,TRUE,TRUE
VIM,TRUE,TRUE,TRUE
TSPO,TRUE,TRUE,TRUE
C1QB,TRUE,FALSE,FALSE
S100A6,TRUE,TRUE,FALSE
TMSB4X,TRUE,TRUE,TRUE
CKLF,TRUE,TRUE,FALSE
CALM1,TRUE,FALSE,TRUE
CYBA,TRUE,TRUE,TRUE
ATP5PF,TRUE,FALSE,FALSE
HLA-DQB1,TRUE,TRUE,FALSE
C20orf27,TRUE,TRUE,FALSE
RAC1,TRUE,TRUE,FALSE
COX7A2,TRUE,FALSE,FALSE
ATP5F1E,TRUE,FALSE,FALSE
COX6C,TRUE,TRUE,FALSE
ATP5MF,TRUE,FALSE,FALSE
HP,TRUE,FALSE,FALSE
SLC11A1,TRUE,FALSE,FALSE
RPS4X,TRUE,FALSE,TRUE
HLA-C,TRUE,TRUE,TRUE
CALM2,TRUE,TRUE,TRUE
EHBP1L1,TRUE,FALSE,FALSE
B2M,TRUE,TRUE,TRUE
S100A4,TRUE,TRUE,TRUE
DYNLL1,TRUE,TRUE,FALSE
NDUFB8,TRUE,TRUE,TRUE
GMFG,TRUE,FALSE,FALSE
UBL5,TRUE,TRUE,TRUE
OAZ1,TRUE,TRUE,FALSE
VPS29,TRUE,TRUE,FALSE
BLOC1S1,TRUE,TRUE,TRUE
SRRM2,TRUE,FALSE,FALSE
ALDH2,TRUE,TRUE,TRUE
ATP5F1D,TRUE,FALSE,FALSE
SKP1,TRUE,TRUE,FALSE
PSMB1,TRUE,TRUE,FALSE
RPS27,TRUE,TRUE,TRUE
DBI,TRUE,TRUE,FALSE
NDUFB2,TRUE,TRUE,FALSE
RETN,TRUE,TRUE,TRUE
GAPDH,TRUE,TRUE,TRUE
LAMP1,TRUE,FALSE,FALSE
NDUFV2,TRUE,TRUE,TRUE
CLIC1,TRUE,TRUE,FALSE
HLA-A,TRUE,TRUE,TRUE
PON2,TRUE,FALSE,FALSE
CFD,TRUE,FALSE,FALSE
TYROBP,TRUE,TRUE,TRUE
NDUFB4,TRUE,FALSE,FALSE
FBP1,TRUE,TRUE,FALSE
CTSD,TRUE,TRUE,TRUE
SEC61B,TRUE,TRUE,FALSE
SSBP1,TRUE,TRUE,FALSE
HLA-DRB1,TRUE,TRUE,FALSE
PSMA7,TRUE,TRUE,FALSE
PARK7,TRUE,TRUE,FALSE
ANTKMT,TRUE,FALSE,FALSE
CD81,TRUE,FALSE,FALSE
NDUFC2,TRUE,TRUE,TRUE
UQCR11,TRUE,TRUE,FALSE
BRI3,TRUE,FALSE,FALSE
PDLIM1,TRUE,FALSE,FALSE
ATP5MD,TRUE,FALSE,FALSE
RPL13,TRUE,TRUE,TRUE
HLA-DRA,TRUE,TRUE,TRUE
ATP5PO,TRUE,FALSE,FALSE
RAC2,TRUE,TRUE,TRUE
S100A8,TRUE,TRUE,FALSE
ANXA1,TRUE,TRUE,TRUE
SLIRP,TRUE,TRUE,FALSE
RPL26,TRUE,TRUE,TRUE
SAP18,TRUE,TRUE,FALSE
PSMB3,TRUE,TRUE,TRUE
SNX2,TRUE,TRUE,FALSE
DYNLRB1,TRUE,TRUE,FALSE
SPCS1,TRUE,TRUE,FALSE
NDUFA1,TRUE,TRUE,FALSE
PSMA5,TRUE,TRUE,TRUE
ANPEP,TRUE,FALSE,FALSE
CNIH4,TRUE,FALSE,TRUE
BLVRA,TRUE,FALSE,TRUE
NRP2,TRUE,FALSE,FALSE
NEDD8,TRUE,TRUE,FALSE
H3F3A,TRUE,TRUE,TRUE
ARL6IP5,TRUE,TRUE,FALSE
ATP5F1C,TRUE,FALSE,FALSE
UQCR10,TRUE,TRUE,TRUE
PFN1,TRUE,TRUE,TRUE
PYCARD,TRUE,TRUE,TRUE
HINT1,TRUE,FALSE,TRUE
ARPC2,TRUE,TRUE,TRUE
ATP6V0E1,TRUE,TRUE,FALSE
LGALS1,TRUE,TRUE,TRUE
NDUFA12,TRUE,TRUE,TRUE
SRI,TRUE,FALSE,FALSE
RPS15A,TRUE,TRUE,TRUE
SH3BGRL,TRUE,TRUE,FALSE
PSMD8,TRUE,TRUE,FALSE
ANXA5,TRUE,TRUE,TRUE
NDUFA11,TRUE,TRUE,TRUE
SCD,TRUE,FALSE,FALSE
LSP1,TRUE,TRUE,TRUE
MRPL40,TRUE,TRUE,FALSE
APOC1,TRUE,FALSE,FALSE
FKBP1A,TRUE,TRUE,FALSE
ELOB,TRUE,FALSE,FALSE
HSPE1,TRUE,TRUE,TRUE
RPS10,TRUE,TRUE,TRUE
NDUFAB1,TRUE,TRUE,FALSE
RPS27L,TRUE,TRUE,FALSE
CD163,TRUE,FALSE,FALSE
RNH1,TRUE,TRUE,FALSE
ATP5PD,TRUE,FALSE,FALSE
PSMB8,TRUE,TRUE,TRUE
RPL21,TRUE,TRUE,TRUE
NDUFA3,TRUE,TRUE,TRUE
ALDH1A2,TRUE,FALSE,FALSE
TXNDC17,TRUE,FALSE,FALSE
RPL27,TRUE,TRUE,TRUE
TAGLN2,TRUE,TRUE,TRUE
SUB1,TRUE,TRUE,TRUE
BID,TRUE,FALSE,FALSE
APP,TRUE,FALSE,FALSE
NAA20,TRUE,TRUE,FALSE
SNRPD1,TRUE,FALSE,FALSE
MRPL51,TRUE,TRUE,FALSE
LAIR2,TRUE,FALSE,TRUE
